trial_number,lr,weight_decay,betas,lr_scheduler,frozen_enc,val_loss,model_path
0,0.00027531736078578126,0.0002780988647883795,"(0.9, 0.999)",cosine,False,0.3423085,/home/bohanfeng/Desktop/liboyan/Imitation_learning/act/ckpt/optuna_trials/model_trial_0.ckpt
1,6.412789190231559e-06,0.0002773891885422754,"(0.9, 0.999)",cosine,False,0.108329296,/home/bohanfeng/Desktop/liboyan/Imitation_learning/act/ckpt/optuna_trials/model_trial_1.ckpt
2,0.00023381725262787943,0.008661168166811908,"(0.9, 0.999)",cosine,False,0.13131906,/home/bohanfeng/Desktop/liboyan/Imitation_learning/act/ckpt/optuna_trials/model_trial_2.ckpt
3,1.0728553090114411e-05,0.022057099464997804,"(0.9, 0.98)",None,True,0.09295678,/home/bohanfeng/Desktop/liboyan/Imitation_learning/act/ckpt/optuna_trials/model_trial_3.ckpt
4,3.7883957937779497e-06,0.00037324145090733926,"(0.9, 0.98)",cosine,True,0.14251305,/home/bohanfeng/Desktop/liboyan/Imitation_learning/act/ckpt/optuna_trials/model_trial_4.ckpt
5,0.00020032742888088156,0.0025485511449900773,"(0.9, 0.999)",None,True,0.40503457,/home/bohanfeng/Desktop/liboyan/Imitation_learning/act/ckpt/optuna_trials/model_trial_5.ckpt
6,3.740012001824252e-05,0.0002566052941840743,"(0.9, 0.999)",None,False,0.05721284,/home/bohanfeng/Desktop/liboyan/Imitation_learning/act/ckpt/optuna_trials/model_trial_6.ckpt
7,1.4462048473481624e-05,0.004854988403033464,"(0.9, 0.98)",None,False,0.07088073,/home/bohanfeng/Desktop/liboyan/Imitation_learning/act/ckpt/optuna_trials/model_trial_7.ckpt
8,0.00024279937350080215,0.02371674722250979,"(0.9, 0.999)",cosine,False,0.35763922,/home/bohanfeng/Desktop/liboyan/Imitation_learning/act/ckpt/optuna_trials/model_trial_8.ckpt
9,2.763578060514177e-05,0.08589043257259553,"(0.9, 0.999)",None,False,0.067233086,/home/bohanfeng/Desktop/liboyan/Imitation_learning/act/ckpt/optuna_trials/model_trial_9.ckpt
10,8.058594753088981e-05,0.0010999612330948746,"(0.9, 0.98)",None,True,0.056631815,/home/bohanfeng/Desktop/liboyan/Imitation_learning/act/ckpt/optuna_trials/model_trial_10.ckpt
11,7.971439331079339e-05,0.0011140620228830848,"(0.9, 0.98)",None,True,0.060067873,/home/bohanfeng/Desktop/liboyan/Imitation_learning/act/ckpt/optuna_trials/model_trial_11.ckpt
